schema_version,team_id,organization_id,team_name,product_ids,team_geography,status,confidence,evidence_ids,version
agent-hiring-map-public/1.0,TEAM-0FB18D186F691E2E,ORG-BB01AB5046C935D9,南京大学智能科学与技术学院 / Nanjing University School of Intelligent Science and Technology,"[""PROD-5AB3D1CFCB01229C"",""PROD-C59C261957355712""]","[""China""]",active,1.0,"[""AMC-6748"",""AMC-6973""]",1
agent-hiring-map-public/1.0,TEAM-0FE11DE64CA45A85,ORG-CB115A7AB849366A,Lance,"[""PROD-4FCF0932F8E277C5""]","[""United States""]",active,0.9,"[""AMC-1441""]",1
agent-hiring-map-public/1.0,TEAM-0FE8537254636752,ORG-3D3A6ED36D796753,深圳十沣科技有限公司 / Tenfong,"[""PROD-C164C4CE823ABF1F""]","[""China""]",active,0.9,"[""AMC-6741""]",1
agent-hiring-map-public/1.0,TEAM-101FA2B1547A3F54,ORG-E53824F3F8385599,MindFort,"[""PROD-80F25ED8AA0CE826""]","[""United States""]",active,0.9,"[""AMC-6662""]",1
agent-hiring-map-public/1.0,TEAM-104A59F429C17DCE,ORG-A672876C3E2B3BE6,Articul8 AI,"[""PROD-5D9AC5D1ECB08631""]","[""United States""]",active,0.9,"[""AMC-5969""]",1
agent-hiring-map-public/1.0,TEAM-10661C43950F0E75,ORG-738749484A4C1062,腾讯混元助手,"[""PROD-0EED00DB1BBAAD85""]","[""China""]",active,1.0,"[""AMC-0081""]",1
agent-hiring-map-public/1.0,TEAM-10701887A10D0295,ORG-3966475F5AED7286,China Literature / 阅文集团,"[""PROD-AF38589F02B6307B""]","[""China""]",active,0.9,"[""AMC-6340""]",1
agent-hiring-map-public/1.0,TEAM-107AEB3CC67BD0A8,ORG-C9F44430290350A4,Yidian Intelligent Computing / 仪电智算,"[""PROD-A17EA70A93C45DCE""]","[""China""]",active,0.9,"[""AMC-6337""]",1
agent-hiring-map-public/1.0,TEAM-10C405784F542C45,ORG-B7F8DFC2578DDA24,零一万物 01.AI,"[""PROD-0028F123C181CCD0"",""PROD-13CA4F06A5E607F0"",""PROD-2C2D9A5000FE8725"",""PROD-363B77203C8D80B6"",""PROD-5FB8DCC3F85C6B4A"",""PROD-601D41F3DA9E88A9"",""PROD-62080B7E1C5CB258"",""PROD-6551E1C366A75920"",""PROD-686DC029BC63BCD2"",""PROD-82F1E40F42ACAE14"",""PROD-862983B86B2DFC12"",""PROD-915880C47363F702"",""PROD-9A9741803BB39527"",""PROD-BBD32D314125FC3E"",""PROD-D7FF8552C2BA256C"",""PROD-DCD24B76B9A90873""]","[""China""]",active,1.0,"[""AMC-0100"",""AMC-1287"",""AMC-1288"",""AMC-1289"",""AMC-1290"",""AMC-1291"",""AMC-1292"",""AMC-1293"",""AMC-1294"",""AMC-1295"",""AMC-1296"",""AMC-1297"",""AMC-1298"",""AMC-1299"",""AMC-1300"",""AMC-1301""]",1
agent-hiring-map-public/1.0,TEAM-10D2DA7ACB9A13C3,ORG-587D7326DB74832D,Travelers,"[""PROD-FD60CE95331F3DEF""]","[""United States""]",active,1.0,"[""AMC-6898""]",1
agent-hiring-map-public/1.0,TEAM-111290911E5FFA1F,ORG-9954DB40AE98435A,中国电信人工智能研究院（TeleAI）,"[""PROD-914FBE231EBE8B34""]","[""China""]",active,1.0,"[""AMC-6595""]",1
agent-hiring-map-public/1.0,TEAM-1124AE101524F67B,ORG-87CC986CE8E88BEC,China Merchants Fintech / 招商金科,"[""PROD-2190EC7101DE6FF6"",""PROD-221D89953724F177"",""PROD-56D652DDAF85E04C"",""PROD-61B28484EA310CBA"",""PROD-645330FA33155757"",""PROD-E49D6F750D8CF5F0""]","[""China""]",active,1.0,"[""AMC-1423"",""AMC-1426"",""AMC-1427"",""AMC-1428"",""AMC-1429"",""AMC-1431""]",1
agent-hiring-map-public/1.0,TEAM-114809FBC8A88F8C,ORG-1589E0C81D2AA9B6,Champ AI,"[""PROD-AB2F3C7E0F7BA433""]","[""United States""]",active,0.9,"[""AMC-6369""]",1
agent-hiring-map-public/1.0,TEAM-115C0A72563C9FC8,ORG-7D68E0D76EFD42D6,screenpipe,"[""PROD-9A9661724313657B""]","[""United States""]",active,0.9,"[""AMC-7182""]",1
